riddle,answer
What number becomes zero when you subtract 15 from half of it?,30
I am a two-digit number. My tens digit is double my ones digit. The sum of my digits is 12. What number am I?,48
A farmer has 10 sheep. All but 3 run away. How many are left?,3
"I am a number. Multiply me by 4, then subtract 6, and you get 18. What number am I?",6
"What comes next in the sequence: 2, 6, 12, 20, 30, __?",42
"I am a number between 1 and 100. When divided by 3, my remainder is 2. When divided by 5, my remainder is 3. What number am I?",17
I am a three-digit number. My hundreds digit is 3 times my ones digit. My tens digit is the sum of my other two digits. What number am I?,141
A number is doubled and then increased by 8. The result is 20. What is the number?,6
I am a number that is half of 60 and also one-third of 90. What number am I?,30
What two numbers add up to 12 and multiply to 35?,5 and 7
I am a number that is the sum of the first four prime numbers. What number am I?,17
I am a square number between 20 and 30. What number am I?,25
"I am a three-digit number. My digits add up to 9, and my ones digit is 3. My hundreds digit is twice my ones digit. What number am I?",621
I am a number that is a multiple of 9 and also a multiple of 12. The smallest such number is?,36
"A father is three times as old as his son. In 12 years, he will be twice as old. How old is the son now?",12
I am a prime number greater than 10 and less than 20. My digits add up to 8. What number am I?,17
"If you reverse my digits, I become 9 more than I was before. I am a two-digit number. What number am I?",45
"A store sells apples in bags of 6. If you buy 5 bags, how many apples do you have?",30
I am a number whose square is 64. What number am I?,8
"I am a number that, when divided by 4, gives a remainder of 3. I am also between 10 and 20. What number am I?",15
"What is the next number in the pattern: 1, 1, 2, 3, 5, 8, __?",13
"I am a three-digit number. My tens digit is 5, my ones digit is twice my hundreds digit. The sum of my digits is 11. What number am I?",251
"I am a number that, when added to 12, equals half of 36. What number am I?",6
"If you take my square root and add 5, you get 14. What number am I?",81
I am an even number between 50 and 60 that is divisible by 7. What number am I?,56
"I am a number that, when tripled and increased by 7, equals 40. What number am I?",11
"I am a number between 20 and 30. When divided by 6, I give a remainder of 2. What number am I?",26
I am a two-digit number. My ones digit is 4 more than my tens digit. The sum of my digits is 10. What number am I?,37
I am a number that is the product of two prime numbers. I am between 10 and 20. What number am I?,15
I am a number whose cube is 64. What number am I?,4
